country_name,year,judicial_constraints,legislative_constraints,accountability_index,high_court_independence,federalism_index,power_distribution_index
Singapore,2024,0.811,0.56,0.344,0.237,0.0,0.39039999999999997
Slovakia,2024,0.79,0.615,1.124,1.253,0.987,0.9538
Slovenia,2024,0.775,0.909,1.238,0.612,0.49,0.8048
Solomon Islands,2024,0.831,0.634,1.04,1.339,0.46,0.8608
Somalia,2024,0.185,0.641,0.211,-1.591,0.0,-0.11079999999999997
Somaliland,2024,0.376,0.717,0.611,-0.493,0.419,0.32599999999999996
South Africa,2024,0.914,0.943,1.383,1.631,0.886,1.1514000000000002
South Korea,2024,0.815,0.942,1.311,1.058,0.974,1.02
South Sudan,2024,0.23,0.222,-0.557,-1.097,0.0,-0.2404
Spain,2024,0.94,0.827,1.584,1.351,0.994,1.1392
Sri Lanka,2024,0.826,0.537,1.048,1.814,0.994,1.0437999999999998
Sudan,2024,0.159,0.5571477272727272,-0.508,-1.815,0.0,-0.5409999999999999
Suriname,2024,0.848,0.759,1.314,1.04,0.472,0.8865999999999999
Sweden,2024,0.977,0.986,1.815,2.893,0.948,1.5238
Switzerland,2024,0.983,0.928,1.828,2.13,0.997,1.3732
Syria,2024,0.14,0.215,0.5236011235955056,-1.29,0.197,-0.1845
Taiwan,2024,0.829,0.864,1.418,1.85,0.479,1.088
Tajikistan,2024,0.053,0.135,-0.947,-1.837,0.015,-0.5162
Tanzania,2024,0.829,0.83,0.722,1.358,0.412,0.8301999999999999
Thailand,2024,0.728,0.848,0.506,0.671,0.119,0.5744
The Gambia,2024,0.852,0.618,1.063,1.471,0.471,0.8949999999999999
Timor-Leste,2024,0.675,0.679,1.093,0.137,0.535,0.6238
Togo,2024,0.215,0.272,0.088,-0.821,0.617,0.0742
Trinidad and Tobago,2024,0.84,0.807,1.332,1.754,0.441,1.0348000000000002
Tunisia,2024,0.395,0.329,0.193,0.03,0.473,0.284
Turkmenistan,2024,0.058,0.061,-1.255,-2.213,0.028,-0.6642
Türkiye,2024,0.221,0.167,-0.255,0.135,0.381,0.1298
Uganda,2024,0.554,0.579,-0.017,0.659,0.238,0.40259999999999996
Ukraine,2024,0.338,0.599,0.465,-0.41,0.657,0.32980000000000004
United Arab Emirates,2024,0.14,0.138,-0.662,-1.297,0.0,-0.3362
United Kingdom,2024,0.941,0.937,1.48,2.2,0.904,1.2924
United States of America,2024,0.905,0.868,1.588,1.635,0.984,1.1960000000000002
Uruguay,2024,0.951,0.885,1.536,1.767,0.978,1.2233999999999998
Uzbekistan,2024,0.082,0.05,-0.557,-1.711,0.016,-0.42400000000000004
Vanuatu,2024,0.884,0.832,1.424,2.362,0.389,1.1782
Venezuela,2024,0.013,0.042,-0.885,-2.367,0.718,-0.4958
Vietnam,2024,0.169,0.483,-0.441,-1.556,0.727,-0.1236
Yemen,2024,0.164,0.126,-0.55,-1.384,0.0,-0.3288
Zambia,2024,0.728,0.751,0.893,0.596,0.486,0.6908
Zanzibar,2024,0.685,0.741,0.225,0.435,0.32,0.4812
Zimbabwe,2024,0.234,0.54,-0.06,-0.787,0.398,0.06499999999999999
